Country,Destroyed_Count,country_code,Population
Equatorial Guinea,18,GNQ,1714671
Afghanistan,16,AFG,42239854
Cocos (Keeling) Islands,16,CCK,
"Bonaire, Saint Eustatius and Saba",16,BES,
Anguilla,16,AIA,
Djibouti,16,DJI,1136455
Mayotte,15,MYT,
Cayman Islands,15,CYM,69310
Cyprus,15,CYP,1260138
St. Pierre and Miquelon,15,SPM,
Norfolk Island,15,NFK,
Senegal,15,SEN,17763163
Bahrain,15,BHR,1485509
United States Minor Outlying Islands,15,UMI,
Malta,15,MLT,553214
Guadeloupe,15,GLP,
Grenada,15,GRD,126183
Sao Tome and Principe,15,STP,231856
Niger,14,NER,27202843
Mali,14,MLI,23293698
Macau,14,MAC,704149
Ecuador,14,ECU,18190484
North Korea,14,PRK,26160821
Gabon,14,GAB,2436566
Northern Mariana Islands,14,MNP,49796
Comoros,14,COM,852075
Honduras,14,HND,10593798
Mozambique,14,MOZ,33897354
Guinea,14,GIN,14190612
Chad,14,TCD,18278568
Reunion,14,REU,
Guyana,14,GUY,813834
Saint-Martin,14,MAF,32077
"Micronesia, Fed. Sts.",14,FSM,115224
Iraq,14,IRQ,45504560
Azerbaijan,14,AZE,10112555
Sint Maarten,14,SXM,41163
Bahamas,14,BHS,412623
Antigua and Barbuda,14,ATG,94298
St. Kitts and Nevis,14,KNA,47755
Solomon Islands,14,SLB,740424
Botswana,14,BWA,2675352
Seychelles,14,SYC,119773
Wallis and Futuna Islands,14,WLF,
St. Helena,14,SHN,
Montenegro,13,MNE,616177
Mauritania,13,MRT,4862989
Eswatini,13,SWZ,1210822
Monaco,13,MCO,36297
Eritrea,13,ERI,3748901
Trinidad and Tobago,13,TTO,1534937
Brunei Darussalam,13,BRN,452524
Turks and Caicos Islands,13,TCA,46062
Argentina,13,ARG,46654581
French Guiana,13,GUF,
French Southern Territories,13,ATF,
Uganda,13,UGA,48582334
Maldives,13,MDV,521021
United Arab Emirates,13,ARE,9516871
Libya,13,LBY,6888388
Angola,13,AGO,36684202
United States Virgin Islands,13,VIR,104917
Kiribati,13,KIR,133515
Italy,13,ITA,58761146
Nauru,13,NRU,12780
Papua New Guinea,13,PNG,10329931
Netherlands,13,NLD,17879488
Costa Rica,13,CRI,5212173
British Virgin Islands,13,VGB,31538
Cabo Verde,13,CPV,598682
Qatar,13,QAT,2716391
Pitcairn,13,PCN,
Paraguay,13,PRY,6861524
Sri Lanka,13,LKA,22037000
St. Barths,13,BLM,
Nicaragua,13,NIC,7046310
Cook Islands,13,COK,
Bhutan,13,BTN,787424
Cote d'Ivoire,13,CIV,28873034
Svalbard and Jan Mayen Islands,13,SJM,
Cuba,13,CUB,11194449
Curacao,13,CUW,147862
Barbados,13,BRB,281995
Martinique,12,MTQ,
San Marino,12,SMR,33642
Tanzania,12,TZA,67438106
Jersey,12,JEY,
Vatican,12,VAT,764
Jordan,12,JOR,11337052
Kenya,12,KEN,55100586
Kuwait,12,KWT,4310108
Romania,12,ROU,19056116
Marshall Islands,12,MHL,41996
Kyrgyz Republic,12,KGZ,7100800
Suriname,12,SUR,623236
St. Lucia,12,LCA,180251
Mauritius,12,MUS,1261041
Panama,12,PAN,4468087
Serbia,12,SRB,6618026
Liberia,12,LBR,5418377
Bouvet Island,12,BVT,
Germany,12,DEU,84482267
Bermuda,12,BMU,63489
British Indian Ocean Territory,12,IOT,
Bulgaria,12,BGR,6430370
Burundi,12,BDI,13238559
Cambodia,12,KHM,16944826
Central African Republic,12,CAF,5742315
Georgia,12,GEO,3760365
Belarus,12,BLR,9178298
Gambia,12,GMB,2773168
Chile,12,CHL,19629590
Fiji,12,FJI,936375
Ethiopia,12,ETH,126527060
Dominica,12,DMA,73040
Dominican Republic,12,DOM,11332972
Benin,12,BEN,13712828
Egypt,12,EGY,112716598
Heard and McDonald Islands,12,HMD,
Guernsey,12,GGY,
Guam,12,GUM,172952
Albania,12,ALB,2745972
Haiti,12,HTI,11724763
Guinea-Bissau,12,GNB,2150842
Aruba,12,ABW,106277
Hungary,11,HUN,9589872
Colombia,11,COL,52085168
American Samoa,11,ASM,43914
Tajikistan,11,TJK,10143543
Palau,11,PLW,18058
Croatia,11,HRV,3853200
Niue,11,NIU,
Uruguay,11,URY,3423108
Nigeria,11,NGA,223804632
Algeria,11,DZA,45606480
New Caledonia,11,NCL,267940
Oman,11,OMN,4644384
Tunisia,11,TUN,12458223
Turkmenistan,11,TKM,6516100
Samoa,11,WSM,225681
Australia,11,AUS,26638544
Tonga,11,TON,107773
Singapore,11,SGP,5917648
Brazil,11,BRA,216422446
Myanmar,11,MMR,54577997
South Africa,11,ZAF,60414495
Togo,11,TGO,9053799
Austria,11,AUT,9132383
Belize,11,BLZ,410825
St. Vincent and the Grenadines,11,VCT,103698
Sudan,11,SDN,48109006
Philippines,11,PHL,117337368
Zimbabwe,11,ZWE,16665409
El Salvador,11,SLV,6364943
Mongolia,11,MNG,3447157
Falkland Islands,11,FLK,
Madagascar,11,MDG,30325732
Guatemala,11,GTM,17602431
Isle of Man,11,IMN,84710
Latvia,11,LVA,1881750
Liechtenstein,11,LIE,39584
Moldova,11,MDA,2486891
Estonia,11,EST,1366188
